part_id,part_name,elm_code,model_family_group,base_price,stock_quantity
PRT-B2-0001,Agreement Sensor,ELM-2217,Transmission,99999.99,290
PRT-B2-0002,Ground Valve,ELM-6489,electric,77.14,13
PRT-B2-0003,Network Valve,ELM-7714,eng,203.45,642
PRT-B2-0004,Face Sensor,ELM-8096,electric,249.36,175
PRT-B2-0005,Sort Sensor,ELM-7511,Engine,440.65,174
PRT-B2-0006,Rest Bolt,ELM-9707,Transmission,487.29,477
PRT-B2-0007,Stay Bolt,ELM-5717,eng,340.46,208
PRT-B2-0008,Fly Valve,ELM-6140,Transmission,422.84,798
PRT-B2-0009,Image Bolt,ELM-2675,eng,148.09,251
PRT-B2-0010,Open Bolt,ELM-9795,electric,467.25,599
PRT-B2-0011,Growth Bolt,ELM-6437,eng,482.86,963
PRT-B2-0012,Unit Valve,ELM-8783,eng,219.96,639
PRT-B2-0013,Everyone Bolt,ELM-3497,eng,196.12,869
PRT-B2-0014,Task Valve,ELM-1723,eng,250.9,475
PRT-B2-0015,Rock Bolt,ELM-8723,eng,104.56,537
PRT-B2-0016,Window Valve,ELM-2173,Engine,80.27,845
PRT-B2-0017,Analysis Valve,ELM-4958,Engine,491.71,680
PRT-B2-0018,Main Sensor,ELM-6221,electric,172.66,283
PRT-B2-0019,Special Sensor,ELM-8721,Engine,355.87,595
PRT-B2-0020,Present Bolt,ELM-3519,electric,339.44,248
PRT-B2-0021,Serious Valve,ELM-4938,Transmission,307.14,434
PRT-B2-0022,Threat Bolt,ELM-3605,electric,18.52,162
PRT-B2-0023,Understand Valve,ELM-6690,Engine,412.72,766
PRT-B2-0024,Hard Bolt,ELM-4928,electric,447.51,293
PRT-B2-0025,Page Bolt,ELM-8650,electric,153.01,947
PRT-B2-0026,Republican Sensor,ELM-1004,electric,311.7,596
PRT-B2-0027,Price Bolt,ELM-6784,eng,47.86,230
PRT-B2-0028,Side Bolt,ELM-9060,electric,493.66,699
PRT-B2-0029,Strategy Valve,ELM-2412,Transmission,98.52,309
PRT-B2-0030,Per Bolt,ELM-9726,eng,28.66,883
